location1,location2,boolean_similarity
ABSTRACT THOUGHT BUILDING,ABSTRACT THOUGHT BUILDING,1.0
ABSTRACT THOUGHT BUILDING,BLACK.,0.111441799673
ABSTRACT THOUGHT BUILDING,BUS,0.128569260108
ABSTRACT THOUGHT BUILDING,CLASSROOM,0.201190546761
ABSTRACT THOUGHT BUILDING,DAD'S HEADQUARTERS,0.098595252782
ABSTRACT THOUGHT BUILDING,DO NOT ENTER WHEN LIGHT FLASHING.,0.0924026588693
ABSTRACT THOUGHT BUILDING,DREAM PRODUCTIONS,0.133606278007
ABSTRACT THOUGHT BUILDING,EXT. SCHOOL - MORNING,0.0572598334314
ABSTRACT THOUGHT BUILDING,FALLS!,0.0820092368105
ABSTRACT THOUGHT BUILDING,GOOFBALL ISLAND,0.116881145553
ABSTRACT THOUGHT BUILDING,HEADQUARTERS,0.240012640052
ABSTRACT THOUGHT BUILDING,HOCKEY RINK,0.184394181929
ABSTRACT THOUGHT BUILDING,HOSPITAL,0.0261354186745
ABSTRACT THOUGHT BUILDING,IMAGINATIONLAND,0.259933639927
ABSTRACT THOUGHT BUILDING,LONG-TERM MEMORY,0.29051730265
ABSTRACT THOUGHT BUILDING,MEMORY DUMP,0.213819236217
ABSTRACT THOUGHT BUILDING,MIND WORLD,0.232509824353
ABSTRACT THOUGHT BUILDING,MINNESOTA HOUSE,0.144150641813
ABSTRACT THOUGHT BUILDING,MINNESOTA LAKE,0.0887065525145
ABSTRACT THOUGHT BUILDING,MOM'S HEADQUARTERS,0.156812512047
ABSTRACT THOUGHT BUILDING,ON THE SCREEN:,0.10148125307
ABSTRACT THOUGHT BUILDING,SAN FRANCISCO HOUSE,0.229652559277
ABSTRACT THOUGHT BUILDING,SAN FRANCISCO STREET,0.123013855216
ABSTRACT THOUGHT BUILDING,STAGE B,0.213485586874
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS CAVE,0.260850352299
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS GATE,0.259279430054
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS STAIRS,0.110883190643
ABSTRACT THOUGHT BUILDING,THE BACK OF THE ROOM,0.154275241145
ABSTRACT THOUGHT BUILDING,TITLE CARD: INSIDE OUT,0.110321753159
ABSTRACT THOUGHT BUILDING,TRAIN CAR,0.245677990695
ABSTRACT THOUGHT BUILDING,TRAIN STATION,0.174236124496
BLACK.,BLACK.,1.0
BLACK.,BUS,0.0476731294623
BLACK.,CLASSROOM,0.123091490979
BLACK.,DAD'S HEADQUARTERS,0.123737644978
BLACK.,DO NOT ENTER WHEN LIGHT FLASHING.,0.226133508433
BLACK.,DREAM PRODUCTIONS,0.0778498944162
BLACK.,EXT. SCHOOL - MORNING,0.233549683248
BLACK.,FALLS!,0.0
BLACK.,GOOFBALL ISLAND,0.0953462589246
BLACK.,HEADQUARTERS,0.0941304157875
BLACK.,HOCKEY RINK,0.161164592805
BLACK.,HOSPITAL,0.106600358178
BLACK.,IMAGINATIONLAND,0.117801055358
BLACK.,LONG-TERM MEMORY,0.115919336758
BLACK.,MEMORY DUMP,0.121691087147
BLACK.,MIND WORLD,0.131715842443
BLACK.,MINNESOTA HOUSE,0.172928615967
BLACK.,MINNESOTA LAKE,0.180906806747
BLACK.,MOM'S HEADQUARTERS,0.17766726363
BLACK.,ON THE SCREEN:,0.177393718797
BLACK.,SAN FRANCISCO HOUSE,0.124893325186
BLACK.,SAN FRANCISCO STREET,0.209060502502
BLACK.,STAGE B,0.186591124071
BLACK.,SUBCONSCIOUS CAVE,0.129749824027
BLACK.,SUBCONSCIOUS GATE,0.137940146962
BLACK.,SUBCONSCIOUS STAIRS,0.150755672289
BLACK.,THE BACK OF THE ROOM,0.134839972493
BLACK.,TITLE CARD: INSIDE OUT,0.128564869307
BLACK.,TRAIN CAR,0.148453923805
BLACK.,TRAIN STATION,0.0
BUS,BUS,1.0
BUS,CLASSROOM,0.182890880238
BUS,DAD'S HEADQUARTERS,0.113554994792
BUS,DO NOT ENTER WHEN LIGHT FLASHING.,0.0395284707521
BUS,DREAM PRODUCTIONS,0.0612372435696
BUS,EXT. SCHOOL - MORNING,0.122474487139
BUS,FALLS!,0.0
BUS,GOOFBALL ISLAND,0.1
BUS,HEADQUARTERS,0.133278497496
BUS,HOCKEY RINK,0.183116755191
BUS,HOSPITAL,0.0559016994375
BUS,IMAGINATIONLAND,0.158851014664
BUS,LONG-TERM MEMORY,0.148594387414
BUS,MEMORY DUMP,0.191446033415
BUS,MIND WORLD,0.193402637398
BUS,MINNESOTA HOUSE,0.126958343769
BUS,MINNESOTA LAKE,0.126491106407
BUS,MOM'S HEADQUARTERS,0.111803398875
BUS,ON THE SCREEN:,0.155043418237
BUS,SAN FRANCISCO HOUSE,0.147362877599
BUS,SAN FRANCISCO STREET,0.109632252413
BUS,STAGE B,0.163082018263
BUS,SUBCONSCIOUS CAVE,0.136082763488
BUS,SUBCONSCIOUS GATE,0.120560705543
BUS,SUBCONSCIOUS STAIRS,0.0
BUS,THE BACK OF THE ROOM,0.117851130198
BUS,TITLE CARD: INSIDE OUT,0.0674199862463
BUS,TRAIN CAR,0.0973123680202
BUS,TRAIN STATION,0.037267799625
CLASSROOM,CLASSROOM,1.0
CLASSROOM,DAD'S HEADQUARTERS,0.153579766374
CLASSROOM,DO NOT ENTER WHEN LIGHT FLASHING.,0.119072418052
CLASSROOM,DREAM PRODUCTIONS,0.228386719901
CLASSROOM,EXT. SCHOOL - MORNING,0.122977464562
CLASSROOM,FALLS!,0.113227703414
CLASSROOM,GOOFBALL ISLAND,0.107582870728
CLASSROOM,HEADQUARTERS,0.259154810483
CLASSROOM,HOCKEY RINK,0.242464322484
CLASSROOM,HOSPITAL,0.0240562612162
CLASSROOM,IMAGINATIONLAND,0.227861975675
CLASSROOM,LONG-TERM MEMORY,0.244153037245
CLASSROOM,MEMORY DUMP,0.260886642281
CLASSROOM,MIND WORLD,0.219957715627
CLASSROOM,MINNESOTA HOUSE,0.17170739879
CLASSROOM,MINNESOTA LAKE,0.136082763488
CLASSROOM,MOM'S HEADQUARTERS,0.144337567297
CLASSROOM,ON THE SCREEN:,0.186816179439
CLASSROOM,SAN FRANCISCO HOUSE,0.274797837789
CLASSROOM,SAN FRANCISCO STREET,0.179277197073
CLASSROOM,STAGE B,0.245627643644
CLASSROOM,SUBCONSCIOUS CAVE,0.234242789642
CLASSROOM,SUBCONSCIOUS GATE,0.145266988152
CLASSROOM,SUBCONSCIOUS STAIRS,0.068041381744
CLASSROOM,THE BACK OF THE ROOM,0.192717196159
CLASSROOM,TITLE CARD: INSIDE OUT,0.130558241967
CLASSROOM,TRAIN CAR,0.167506302543
CLASSROOM,TRAIN STATION,0.0962250448649
DAD'S HEADQUARTERS,DAD'S HEADQUARTERS,1.0
DAD'S HEADQUARTERS,DO NOT ENTER WHEN LIGHT FLASHING.,0.0512989176043
DAD'S HEADQUARTERS,DREAM PRODUCTIONS,0.132453235707
DAD'S HEADQUARTERS,EXT. SCHOOL - MORNING,0.132453235707
DAD'S HEADQUARTERS,FALLS!,0.0284555196612
DAD'S HEADQUARTERS,GOOFBALL ISLAND,0.0648885684523
DAD'S HEADQUARTERS,HEADQUARTERS,0.169761962268
DAD'S HEADQUARTERS,HOCKEY RINK,0.182802832369
DAD'S HEADQUARTERS,HOSPITAL,0.0362738125055
DAD'S HEADQUARTERS,IMAGINATIONLAND,0.131708413106
DAD'S HEADQUARTERS,LONG-TERM MEMORY,0.157779443116
DAD'S HEADQUARTERS,MEMORY DUMP,0.186339885663
DAD'S HEADQUARTERS,MIND WORLD,0.206172333101
DAD'S HEADQUARTERS,MINNESOTA HOUSE,0.141225345947
DAD'S HEADQUARTERS,MINNESOTA LAKE,0.205195670417
DAD'S HEADQUARTERS,MOM'S HEADQUARTERS,0.229734145868
DAD'S HEADQUARTERS,ON THE SCREEN:,0.160968727317
DAD'S HEADQUARTERS,SAN FRANCISCO HOUSE,0.212492581565
DAD'S HEADQUARTERS,SAN FRANCISCO STREET,0.113822078645
DAD'S HEADQUARTERS,STAGE B,0.13756806317
DAD'S HEADQUARTERS,SUBCONSCIOUS CAVE,0.123623019993
DAD'S HEADQUARTERS,SUBCONSCIOUS GATE,0.0938761391311
DAD'S HEADQUARTERS,SUBCONSCIOUS STAIRS,0.0512989176043
DAD'S HEADQUARTERS,THE BACK OF THE ROOM,0.107060675806
DAD'S HEADQUARTERS,TITLE CARD: INSIDE OUT,0.131243591778
DAD'S HEADQUARTERS,TRAIN CAR,0.101031364057
DAD'S HEADQUARTERS,TRAIN STATION,0.072547625011
DO NOT ENTER WHEN LIGHT FLASHING.,DO NOT ENTER WHEN LIGHT FLASHING.,1.0
DO NOT ENTER WHEN LIGHT FLASHING.,DREAM PRODUCTIONS,0.0322748612184
DO NOT ENTER WHEN LIGHT FLASHING.,EXT. SCHOOL - MORNING,0.129099444874
DO NOT ENTER WHEN LIGHT FLASHING.,FALLS!,0.0
DO NOT ENTER WHEN LIGHT FLASHING.,GOOFBALL ISLAND,0.158113883008
DO NOT ENTER WHEN LIGHT FLASHING.,HEADQUARTERS,0.0936585811582
DO NOT ENTER WHEN LIGHT FLASHING.,HOCKEY RINK,0.0890870806375
DO NOT ENTER WHEN LIGHT FLASHING.,HOSPITAL,0.0
DO NOT ENTER WHEN LIGHT FLASHING.,IMAGINATIONLAND,0.0837218358279
DO NOT ENTER WHEN LIGHT FLASHING.,LONG-TERM MEMORY,0.117474177936
DO NOT ENTER WHEN LIGHT FLASHING.,MEMORY DUMP,0.0672672793996
DO NOT ENTER WHEN LIGHT FLASHING.,MIND WORLD,0.0655278042496
DO NOT ENTER WHEN LIGHT FLASHING.,MINNESOTA HOUSE,0.0860309002015
DO NOT ENTER WHEN LIGHT FLASHING.,MINNESOTA LAKE,0.05
DO NOT ENTER WHEN LIGHT FLASHING.,MOM'S HEADQUARTERS,0.147313912747
DO NOT ENTER WHEN LIGHT FLASHING.,ON THE SCREEN:,0.0490290337845
DO NOT ENTER WHEN LIGHT FLASHING.,SAN FRANCISCO HOUSE,0.0906115652887
DO NOT ENTER WHEN LIGHT FLASHING.,SAN FRANCISCO STREET,0.138675049056
DO NOT ENTER WHEN LIGHT FLASHING.,STAGE B,0.154713186939
DO NOT ENTER WHEN LIGHT FLASHING.,SUBCONSCIOUS CAVE,0.0860662965824
DO NOT ENTER WHEN LIGHT FLASHING.,SUBCONSCIOUS GATE,0.114373927749
DO NOT ENTER WHEN LIGHT FLASHING.,SUBCONSCIOUS STAIRS,0.0
DO NOT ENTER WHEN LIGHT FLASHING.,THE BACK OF THE ROOM,0.037267799625
DO NOT ENTER WHEN LIGHT FLASHING.,TITLE CARD: INSIDE OUT,0.0533001790889
DO NOT ENTER WHEN LIGHT FLASHING.,TRAIN CAR,0.0923186182345
DO NOT ENTER WHEN LIGHT FLASHING.,TRAIN STATION,0.0589255650989
DREAM PRODUCTIONS,DREAM PRODUCTIONS,1.0
DREAM PRODUCTIONS,EXT. SCHOOL - MORNING,0.133333333333
DREAM PRODUCTIONS,FALLS!,0.0716114874039
DREAM PRODUCTIONS,GOOFBALL ISLAND,0.122474487139
DREAM PRODUCTIONS,HEADQUARTERS,0.157186520857
DREAM PRODUCTIONS,HOCKEY RINK,0.172516389836
DREAM PRODUCTIONS,HOSPITAL,0.0
DREAM PRODUCTIONS,IMAGINATIONLAND,0.18014070882
DREAM PRODUCTIONS,LONG-TERM MEMORY,0.170960503969
DREAM PRODUCTIONS,MEMORY DUMP,0.147630863287
DREAM PRODUCTIONS,MIND WORLD,0.169192063048
DREAM PRODUCTIONS,MINNESOTA HOUSE,0.118469775552
DREAM PRODUCTIONS,MINNESOTA LAKE,0.0774596669241
DREAM PRODUCTIONS,MOM'S HEADQUARTERS,0.060858061945
DREAM PRODUCTIONS,ON THE SCREEN:,0.151910905063
DREAM PRODUCTIONS,SAN FRANCISCO HOUSE,0.1737974127
DREAM PRODUCTIONS,SAN FRANCISCO STREET,0.17902871851
DREAM PRODUCTIONS,STAGE B,0.133155910323
DREAM PRODUCTIONS,SUBCONSCIOUS CAVE,0.166666666667
DREAM PRODUCTIONS,SUBCONSCIOUS GATE,0.19687480774
DREAM PRODUCTIONS,SUBCONSCIOUS STAIRS,0.129099444874
DREAM PRODUCTIONS,THE BACK OF THE ROOM,0.134715062811
DREAM PRODUCTIONS,TITLE CARD: INSIDE OUT,0.0550481882563
DREAM PRODUCTIONS,TRAIN CAR,0.0953462589246
DREAM PRODUCTIONS,TRAIN STATION,0.0912870929175
EXT. SCHOOL - MORNING,EXT. SCHOOL - MORNING,1.0
EXT. SCHOOL - MORNING,FALLS!,0.0
EXT. SCHOOL - MORNING,GOOFBALL ISLAND,0.163299316186
EXT. SCHOOL - MORNING,HEADQUARTERS,0.0967301666813
EXT. SCHOOL - MORNING,HOCKEY RINK,0.207019667803
EXT. SCHOOL - MORNING,HOSPITAL,0.0912870929175
EXT. SCHOOL - MORNING,IMAGINATIONLAND,0.115290053645
EXT. SCHOOL - MORNING,LONG-TERM MEMORY,0.0882376794678
EXT. SCHOOL - MORNING,MEMORY DUMP,0.0868416842865
EXT. SCHOOL - MORNING,MIND WORLD,0.135353650438
EXT. SCHOOL - MORNING,MINNESOTA HOUSE,0.118469775552
EXT. SCHOOL - MORNING,MINNESOTA LAKE,0.154919333848
EXT. SCHOOL - MORNING,MOM'S HEADQUARTERS,0.152145154863
EXT. SCHOOL - MORNING,ON THE SCREEN:,0.202547873417
EXT. SCHOOL - MORNING,SAN FRANCISCO HOUSE,0.133690317462
EXT. SCHOOL - MORNING,SAN FRANCISCO STREET,0.17902871851
EXT. SCHOOL - MORNING,STAGE B,0.106524728258
EXT. SCHOOL - MORNING,SUBCONSCIOUS CAVE,0.133333333333
EXT. SCHOOL - MORNING,SUBCONSCIOUS GATE,0.118124884644
EXT. SCHOOL - MORNING,SUBCONSCIOUS STAIRS,0.0645497224368
EXT. SCHOOL - MORNING,THE BACK OF THE ROOM,0.153960071784
EXT. SCHOOL - MORNING,TITLE CARD: INSIDE OUT,0.110096376513
EXT. SCHOOL - MORNING,TRAIN CAR,0.127128345233
EXT. SCHOOL - MORNING,TRAIN STATION,0.060858061945
FALLS!,FALLS!,1.0
FALLS!,GOOFBALL ISLAND,0.175411603861
FALLS!,HEADQUARTERS,0.0779286500199
FALLS!,HOCKEY RINK,0.0
FALLS!,HOSPITAL,0.0
FALLS!,IMAGINATIONLAND,0.123841383366
FALLS!,LONG-TERM MEMORY,0.118478090096
FALLS!,MEMORY DUMP,0.0932829327063
FALLS!,MIND WORLD,0.0726965717509
FALLS!,MINNESOTA HOUSE,0.127256952595
FALLS!,MINNESOTA LAKE,0.0
FALLS!,MOM'S HEADQUARTERS,0.0
FALLS!,ON THE SCREEN:,0.054392829322
FALLS!,SAN FRANCISCO HOUSE,0.0574425749096
FALLS!,SAN FRANCISCO STREET,0.0384615384615
FALLS!,STAGE B,0.0858194351536
FALLS!,SUBCONSCIOUS CAVE,0.167093470609
FALLS!,SUBCONSCIOUS GATE,0.0422954934438
FALLS!,SUBCONSCIOUS STAIRS,0.0693375245282
FALLS!,THE BACK OF THE ROOM,0.0413449115297
FALLS!,TITLE CARD: INSIDE OUT,0.0
FALLS!,TRAIN CAR,0.1706971855
FALLS!,TRAIN STATION,0.0653720450461
GOOFBALL ISLAND,GOOFBALL ISLAND,1.0
